rank,metabolite,hmdb_id,association_score,pathway,validation_status,supporting_pmid,biological_rationale,verification_notes
1,D-Glucose,HMDB0000122,0.3479,Energy metabolism / Glycolysis,Literature-supported,"26740964, 28746350",Elevated in MS CSF; mitochondrial OxPhos impairment in oligodendrocytes; glycolytic compensation for energy deficit,"Cocco 2016 (plasma glucose lower in MS, 1H-NMR) and Kim 2017 (CSF glucose lower in MS/NMOSD)."
2,L-Valine,HMDB0000883,0.2821,BCAA catabolism / mTORC1,Literature-supported,"28746356, 34975890",Reduced in RRMS serum; mTORC1-mediated oligodendrocyte remyelination requires BCAA; deficiency correlates with fatigue,Kim 2017 (CSF valine altered in MS relapse vs remission); Yang 2021 (plasma valine altered in Chinese MS cohort).
3,Formic acid,HMDB0000142,0.1738,One-carbon / Folate cycle,Literature-supported,"28746356, 38926480",Folate cycle impairment; mitochondrial complex I inhibition; convergent with L-Methionine (rank 16) on one-carbon axis,Kim 2017 (CSF formate higher in MS) and Alwahsh 2024 (serum formate higher in MS).
4,Citric acid,HMDB0000094,0.1262,TCA cycle / Mitochondrial,Literature-supported,"28746356, 26759120",Aconitase inhibition by lesion-derived ROS; TCA cycle flux impairment; mitochondrial distress marker in progressive MS,Kim 2017 (CSF citrate lower in MS) and Gebregiworgis 2016 (urinary citrate altered in MS).
5,Hippuric acid,HMDB0000714,0.1248,Gut microbiome / Phenylalanine catab.,Literature-supported,26759122,Clostridiales-mediated phenylalanine-glycine conjugation; reduced in MS reflects gut dysbiosis; microbiome-immune axis,"Gebregiworgis 2016, urinary metabolic signature study: hippurate altered in MS vs healthy controls."
6,L-Lactic acid,HMDB0000190,0.1229,Glycolysis / Astrocyte-neuron coupling,Literature-supported,24726946,Elevated CSF lactate; anaerobic glycolysis in hypoxic lesion microenvironments; astrocyte-neuron shuttle disruption,"Amorini 2014, serum lactate proposed as biomarker in MS (elevated vs healthy)."
7,gamma-Aminobutyric acid,HMDB0000112,0.1228,GABAergic neurotransmission,Literature-supported,26304151,Loss of GABAergic interneurons in MS cortex; spasticity and cortical excitability; CNS-specific fingerprint,Cawley 2015: reduced GABA (MRS) associated with physical disability in progressive MS.
8,Taurine,HMDB0000251,0.0878,Neuroprotection / Osmoregulation,No literature support found,—,Neuroprotective amino sulphonic acid; reduced in MS brain tissue; anti-neuroinflammatory in EAE models,
9,Choline,HMDB0000097,0.0847,Phospholipid / Myelin membrane,Literature-supported,26740964,Elevated choline:creatine on MRS = validated demyelination biomarker; myelin membrane phospholipid precursor,Cocco 2016: plasma choline higher in MS patients (1H-NMR metabolomic profile).
10,Propionic acid,HMDB0000237,0.0785,SCFA / Gut microbiome,Literature-supported,"32160527, 31108130",Anti-inflammatory SCFA; HDAC inhibition; Treg induction; RCT of propionate supplementation in RRMS supports this axis,Duscha 2020 (Cell): propionate shapes MS disease course/immunomodulation; Chinese cohort study: fecal propionate depleted in MS.
11,L-Alanine,HMDB0000161,0.0772,Gluconeogenesis / Nitrogen metabolism,Literature-supported,"26740964, 26759120",Gluconeogenic amino acid; altered nitrogen metabolism in MS; links to muscle wasting and fatigue,Cocco 2016 (plasma alanine higher in MS) and Gebregiworgis 2016 (urinary alanine altered in MS).
12,Hypoxanthine,HMDB0000157,0.0762,Purine catabolism / Oxidative stress,Literature-supported,22096628,Elevated CSF; xanthine oxidase ROS contribute to oligodendrocyte death; oxidative stress-driven purine recycling failure,Tavazzi 2011: serum hypoxanthine/oxypurines increased in MS patients (energy metabolism impairment).
13,L-Phenylalanine,HMDB0000159,0.0699,Aromatic amino acid metabolism,Literature-supported,26759122,Elevated in MS serum; dysregulated phenylalanine hydroxylase in neuroinflammation; aromatic AA transporter competition,Gebregiworgis 2016: urinary phenylalanine altered in MS vs healthy controls.
14,L-Tryptophan,HMDB0000929,0.0688,Kynurenine pathway / IDO1,Literature-supported,"28155867, 26740960",IDO1 catabolism produces neurotoxic quinolinate; kynurenine:tryptophan ratio is a validated MS disease activity marker,Lim 2017: kynurenine-pathway/tryptophan metabolism linked to MS progression; Cocco 2016: plasma tryptophan altered in MS.
15,alpha-D-Glucose,HMDB0000122,0.0674,Energy metabolism / Glycolysis,Literature-supported,26740964,Anomeric form; glycolytic flux perturbations; internally consistent with rank-1 D-Glucose energy axis,Same evidence base as D-Glucose (Cocco 2016); alpha-anomer is the same underlying serum glucose signal measured by NMR.
16,L-Methionine,HMDB0000696,0.0657,One-carbon / Transsulfuration cycle,Literature-supported,29080803,SAM-dependent methylation of myelin basic protein; MBP hypomethylation in progressive MS; one-carbon convergence,Singhal 2018: dysregulation of methionine metabolism in MS (serum/CSF).
17,Butyric acid,HMDB0000039,0.0655,SCFA / Gut microbiome,Literature-supported,31108132,Gut microbiome SCFA; HDAC inhibitor; promotes Treg differentiation; convergent with Propionic acid (rank 10),Chinese cohort study: fecal/serum short-chain fatty acid (incl. butyrate) depletion in MS vs healthy controls.
18,L-Proline,HMDB0000162,0.0632,ECM remodelling / Collagen,Literature-supported,38926483,Collagen metabolism and ECM remodelling; astrogliosis in MS lesion areas; proline-rich proteins in glial scarring,Alwahsh 2024: serum proline altered between MS subtypes/vs controls (NMR-based).
19,L-Leucine,HMDB0000687,0.0613,BCAA catabolism / mTORC1,Literature-supported,38420772,mTORC1 activator; oligodendrocyte differentiation and remyelination; BCAA convergence with L-Valine (rank 2),2024 ACS Chem Neurosci study: leucine altered across CSF/serum/urine in progressive MS.
20,L-Threonine,HMDB0000167,0.0579,Gut microbiome / Essential AA,Probable,38926483,Glycine precursor; gut microbiome-dependent catabolism; reduced in MS; intestinal permeability and gut dysbiosis,Alwahsh 2024: threonine-related metabolic pathway (glycine/serine/threonine metabolism) significantly altered in MS serum; pathway-level rather than a study isolating threonine alone.
